Personas: 2068
* Fabian (-3/H)
* Erika (-5/M)
* Gaby (-6/M)
* Fabian (-9/H)
* Erika (-11/M)
* Gaby (-12/M)
* Fabian (-14/H)
* Erika (-17/M)
* Gaby (-18/M)
* Fabian (-20/H)
* Erika (-22/M)
* Gaby (-23/M)
* Fabian (-26/H)
* Erika (-28/M)
* Gaby (-29/M)
* Fabian (-32/H)
* Erika (-34/M)
* Gaby (-35/M)
* Fabian (-37/H)
* Erika (-40/M)
* Gaby (-41/M)
* Fabian (-43/H)
* Erika (-45/M)
* Gaby (-46/M)
* Fabian (-49/H)
* Erika (-51/M)
* Gaby (-52/M)
* Fabian (-55/H)
* Erika (-57/M)
* Gaby (-58/M)
* Fabian (-60/H)
* Erika (-63/M)
* Gaby (-64/M)
* Fabian (-66/H)
* Erika (-68/M)
* Gaby (-69/M)
* Fabian (-72/H)
* Erika (-74/M)
* Gaby (-75/M)
* Fabian (-78/H)
* Erika (-80/M)
* Gaby (-81/M)
* Fabian (-83/H)
* Erika (-86/M)
* Gaby (-87/M)
* Fabian (-89/H)
* Erika (-91/M)
* Gaby (-92/M)
* Fabian (-95/H)
* Erika (-97/M)
* Gaby (-98/M)
* Fabian (-101/H)
* Erika (-103/M)
* Gaby (-104/M)
* Fabian (-106/H)
* Erika (-109/M)
* Gaby (-110/M)
* Fabian (-112/H)
* Erika (-114/M)
* Gaby (-115/M)
* Fabian (-118/H)
* Erika (-120/M)
* Gaby (-121/M)
* Fabian (-124/H)
* Erika (-126/M)
* Gaby (-127/M)
* Fabian (-129/H)
* Erika (-132/M)
* Gaby (-133/M)
* Fabian (-135/H)
* Erika (-137/M)
* Gaby (-138/M)
* Fabian (-141/H)
* Erika (-143/M)
* Gaby (-144/M)
* Fabian (-147/H)
* Erika (-149/M)
* Gaby (-150/M)
* Fabian (-152/H)
* Erika (-155/M)
* Gaby (-156/M)
* Fabian (-158/H)
* Erika (-160/M)
* Gaby (-161/M)
* Fabian (-164/H)
* Erika (-166/M)
* Gaby (-167/M)
* Fabian (-170/H)
* Erika (-172/M)
* Gaby (-173/M)
* Fabian (-175/H)
* Erika (-178/M)
* Gaby (-179/M)
* Fabian (-181/H)
* Erika (-183/M)
* Gaby (-184/M)
* Fabian (-187/H)
* Erika (-189/M)
* Gaby (-190/M)
* Fabian (-193/H)
* Erika (-195/M)
* Gaby (-196/M)
* Fabian (-198/H)
* Erika (-201/M)
* Gaby (-202/M)
* Fabian (-204/H)
* Erika (-206/M)
* Gaby (-207/M)
* Fabian (-210/H)
* Erika (-212/M)
* Gaby (-213/M)
* Fabian (-216/H)
* Erika (-218/M)
* Gaby (-219/M)
* Fabian (-221/H)
* Erika (-224/M)
* Gaby (-225/M)
* Fabian (-227/H)
* Erika (-229/M)
* Gaby (-230/M)
* Fabian (-233/H)
* Erika (-235/M)
* Gaby (-236/M)
* Fabian (-239/H)
* Erika (-241/M)
* Gaby (-242/M)
* Fabian (-244/H)
* Erika (-247/M)
* Gaby (-248/M)
* Fabian (-250/H)
* Erika (-252/M)
* Gaby (-253/M)
* Fabian (-256/H)
* Erika (-258/M)
* Gaby (-259/M)
* Fabian (-262/H)
* Erika (-264/M)
* Gaby (-265/M)
* Fabian (-267/H)
* Erika (-270/M)
* Gaby (-271/M)
* Fabian (-273/H)
* Erika (-275/M)
* Gaby (-276/M)
* Fabian (-279/H)
* Erika (-281/M)
* Gaby (-282/M)
* Fabian (-285/H)
* Erika (-287/M)
* Gaby (-288/M)
* Fabian (-290/H)
* Erika (-293/M)
* Gaby (-294/M)
* Fabian (-296/H)
* Erika (-298/M)
* Gaby (-299/M)
* Fabian (-302/H)
* Erika (-304/M)
* Gaby (-305/M)
* Fabian (-308/H)
* Erika (-310/M)
* Gaby (-311/M)
* Fabian (-313/H)
* Erika (-316/M)
* Gaby (-317/M)
* Fabian (-319/H)
* Erika (-321/M)
* Gaby (-322/M)
* Fabian (-325/H)
* Erika (-327/M)
* Gaby (-328/M)
* Fabian (-331/H)
* Erika (-333/M)
* Gaby (-334/M)
* Fabian (-336/H)
* Erika (-339/M)
* Gaby (-340/M)
* Fabian (-342/H)
* Erika (-344/M)
* Gaby (-345/M)
* Fabian (-348/H)
* Erika (-350/M)
* Gaby (-351/M)
* Fabian (-354/H)
* Erika (-356/M)
* Gaby (-357/M)
* Fabian (-359/H)
* Erika (-362/M)
* Gaby (-363/M)
* Fabian (-365/H)
* Erika (-367/M)
* Gaby (-368/M)
* Fabian (-371/H)
* Erika (-373/M)
* Gaby (-374/M)
* Fabian (-377/H)
* Erika (-379/M)
* Gaby (-380/M)
* Fabian (-382/H)
* Erika (-385/M)
* Gaby (-386/M)
* Fabian (-388/H)
* Erika (-390/M)
* Gaby (-391/M)
* Fabian (-394/H)
* Erika (-396/M)
* Gaby (-397/M)
* Fabian (-400/H)
* Erika (-402/M)
* Gaby (-403/M)
* Fabian (-405/H)
* Erika (-408/M)
* Gaby (-409/M)
* Fabian (-411/H)
* Erika (-413/M)
* Gaby (-414/M)
* Fabian (-417/H)
* Erika (-419/M)
* Gaby (-420/M)
* Fabian (-423/H)
* Erika (-425/M)
* Gaby (-426/M)
* Fabian (-428/H)
* Erika (-431/M)
* Gaby (-432/M)
* Fabian (-434/H)
* Erika (-436/M)
* Gaby (-437/M)
* Fabian (-440/H)
* Erika (-442/M)
* Gaby (-443/M)
* Fabian (-446/H)
* Erika (-448/M)
* Gaby (-449/M)
* Fabian (-451/H)
* Erika (-454/M)
* Gaby (-455/M)
* Fabian (-457/H)
* Erika (-459/M)
* Gaby (-460/M)
* Fabian (-463/H)
* Erika (-465/M)
* Gaby (-466/M)
* Fabian (-469/H)
* Erika (-471/M)
* Gaby (-472/M)
* Fabian (-474/H)
* Erika (-477/M)
* Gaby (-478/M)
* Fabian (-480/H)
* Erika (-482/M)
* Gaby (-483/M)
* Fabian (-486/H)
* Erika (-488/M)
* Gaby (-489/M)
* Fabian (-492/H)
* Erika (-494/M)
* Gaby (-495/M)
* Fabian (-497/H)
* Erika (-500/M)
* Gaby (-501/M)
* Fabian (-503/H)
* Erika (-505/M)
* Gaby (-506/M)
* Fabian (-509/H)
* Erika (-511/M)
* Gaby (-512/M)
* Fabian (-515/H)
* Erika (-517/M)
* Gaby (-518/M)
* Fabian (-520/H)
* Erika (-523/M)
* Gaby (-524/M)
* Fabian (-526/H)
* Erika (-528/M)
* Gaby (-529/M)
* Fabian (-532/H)
* Erika (-534/M)
* Gaby (-535/M)
* Fabian (-538/H)
* Erika (-540/M)
* Gaby (-541/M)
* Fabian (-543/H)
* Erika (-546/M)
* Gaby (-547/M)
* Fabian (-549/H)
* Erika (-551/M)
* Gaby (-552/M)
* Fabian (-555/H)
* Erika (-557/M)
* Gaby (-558/M)
* Fabian (-561/H)
* Erika (-563/M)
* Gaby (-564/M)
* Fabian (-566/H)
* Erika (-569/M)
* Gaby (-570/M)
* Fabian (-572/H)
* Erika (-574/M)
* Gaby (-575/M)
* Fabian (-578/H)
* Erika (-580/M)
* Gaby (-581/M)
* Fabian (-584/H)
* Erika (-586/M)
* Gaby (-587/M)
* Fabian (-589/H)
* Erika (-592/M)
* Gaby (-593/M)
* Fabian (-595/H)
* Erika (-597/M)
* Gaby (-598/M)
* Fabian (-601/H)
* Erika (-603/M)
* Gaby (-604/M)
* Fabian (-607/H)
* Erika (-609/M)
* Gaby (-610/M)
* Fabian (-612/H)
* Erika (-615/M)
* Gaby (-616/M)
* Fabian (-618/H)
* Erika (-620/M)
* Gaby (-621/M)
* Fabian (-624/H)
* Erika (-626/M)
* Gaby (-627/M)
* Fabian (-630/H)
* Erika (-632/M)
* Gaby (-633/M)
* Fabian (-635/H)
* Erika (-638/M)
* Gaby (-639/M)
* Fabian (-641/H)
* Erika (-643/M)
* Gaby (-644/M)
* Fabian (-647/H)
* Erika (-649/M)
* Gaby (-650/M)
* Fabian (-653/H)
* Erika (-655/M)
* Gaby (-656/M)
* Fabian (-658/H)
* Erika (-661/M)
* Gaby (-662/M)
* Fabian (-664/H)
* Erika (-666/M)
* Gaby (-667/M)
* Fabian (-670/H)
* Erika (-672/M)
* Gaby (-673/M)
* Fabian (-676/H)
* Erika (-678/M)
* Gaby (-679/M)
* Fabian (-681/H)
* Erika (-684/M)
* Gaby (-685/M)
* Fabian (-687/H)
* Erika (-689/M)
* Gaby (-690/M)
* Fabian (-693/H)
* Erika (-695/M)
* Gaby (-696/M)
* Fabian (-699/H)
* Erika (-701/M)
* Gaby (-702/M)
* Fabian (-704/H)
* Erika (-707/M)
* Gaby (-708/M)
* Fabian (-710/H)
* Erika (-712/M)
* Gaby (-713/M)
* Fabian (-716/H)
* Erika (-718/M)
* Gaby (-719/M)
* Fabian (-722/H)
* Erika (-724/M)
* Gaby (-725/M)
* Fabian (-727/H)
* Erika (-730/M)
* Gaby (-731/M)
* Fabian (-733/H)
* Erika (-735/M)
* Gaby (-736/M)
* Fabian (-739/H)
* Erika (-741/M)
* Gaby (-742/M)
* Fabian (-745/H)
* Erika (-747/M)
* Gaby (-748/M)
* Fabian (-750/H)
* Erika (-753/M)
* Gaby (-754/M)
* Fabian (-756/H)
* Erika (-758/M)
* Gaby (-759/M)
* Fabian (-762/H)
* Erika (-764/M)
* Gaby (-765/M)
* Fabian (-768/H)
* Erika (-770/M)
* Gaby (-771/M)
* Fabian (-773/H)
* Erika (-776/M)
* Gaby (-777/M)
* Fabian (-779/H)
* Erika (-781/M)
* Gaby (-782/M)
* Fabian (-785/H)
* Erika (-787/M)
* Gaby (-788/M)
* Fabian (-791/H)
* Erika (-793/M)
* Gaby (-794/M)
* Fabian (-796/H)
* Erika (-799/M)
* Gaby (-800/M)
* Fabian (-802/H)
* Erika (-804/M)
* Gaby (-805/M)
* Fabian (-808/H)
* Erika (-810/M)
* Gaby (-811/M)
* Fabian (-814/H)
* Erika (-816/M)
* Gaby (-817/M)
* Fabian (-819/H)
* Erika (-822/M)
* Gaby (-823/M)
* Fabian (-825/H)
* Erika (-827/M)
* Gaby (-828/M)
* Fabian (-831/H)
* Erika (-833/M)
* Gaby (-834/M)
* Fabian (-837/H)
* Erika (-839/M)
* Gaby (-840/M)
* Fabian (-842/H)
* Erika (-845/M)
* Gaby (-846/M)
* Fabian (-848/H)
* Erika (-850/M)
* Gaby (-851/M)
* Fabian (-854/H)
* Erika (-856/M)
* Gaby (-857/M)
* Fabian (-860/H)
* Erika (-862/M)
* Gaby (-863/M)
* Fabian (-865/H)
* Erika (-868/M)
* Gaby (-869/M)
* Fabian (-871/H)
* Erika (-873/M)
* Gaby (-874/M)
* Fabian (-877/H)
* Erika (-879/M)
* Gaby (-880/M)
* Fabian (-883/H)
* Erika (-885/M)
* Gaby (-886/M)
* Fabian (-888/H)
* Erika (-891/M)
* Gaby (-892/M)
* Fabian (-894/H)
* Erika (-896/M)
* Gaby (-897/M)
* Fabian (-900/H)
* Erika (-902/M)
* Gaby (-903/M)
* Fabian (-906/H)
* Erika (-908/M)
* Gaby (-909/M)
* Fabian (-911/H)
* Erika (-914/M)
* Gaby (-915/M)
* Fabian (-917/H)
* Erika (-919/M)
* Gaby (-920/M)
* Fabian (-923/H)
* Erika (-925/M)
* Gaby (-926/M)
* Fabian (-929/H)
* Erika (-931/M)
* Gaby (-932/M)
* Fabian (-934/H)
* Erika (-937/M)
* Gaby (-938/M)
* Fabian (-940/H)
* Erika (-942/M)
* Gaby (-943/M)
* Fabian (-946/H)
* Erika (-948/M)
* Gaby (-949/M)
* Fabian (-952/H)
* Erika (-954/M)
* Gaby (-955/M)
* Fabian (-957/H)
* Erika (-960/M)
* Gaby (-961/M)
* Fabian (-963/H)
* Erika (-965/M)
* Gaby (-966/M)
* Fabian (-969/H)
* Erika (-971/M)
* Gaby (-972/M)
* Fabian (-975/H)
* Erika (-977/M)
* Gaby (-978/M)
* Fabian (-980/H)
* Erika (-983/M)
* Gaby (-984/M)
* Fabian (-986/H)
* Erika (-988/M)
* Gaby (-989/M)
* Fabian (-992/H)
* Erika (-994/M)
* Gaby (-995/M)
* Fabian (-998/H)
* Erika (-1000/M)
* Gaby (-1001/M)
* Fabian (-1003/H)
* Erika (-1006/M)
* Gaby (-1007/M)
* Fabian (-1009/H)
* Erika (-1011/M)
* Gaby (-1012/M)
* Fabian (-1015/H)
* Erika (-1017/M)
* Gaby (-1018/M)
* Fabian (-1021/H)
* Erika (-1023/M)
* Gaby (-1024/M)
* Fabian (-1026/H)
* Erika (-1029/M)
* Gaby (-1030/M)
* Fabian (-1032/H)
* Erika (-1034/M)
* Gaby (-1035/M)
* Fabian (-1038/H)
* Erika (-1040/M)
* Gaby (-1041/M)
* Fabian (-1044/H)
* Erika (-1046/M)
* Gaby (-1047/M)
* Fabian (-1049/H)
* Erika (-1052/M)
* Gaby (-1053/M)
* Fabian (-1055/H)
* Erika (-1057/M)
* Gaby (-1058/M)
* Fabian (-1061/H)
* Erika (-1063/M)
* Gaby (-1064/M)
* Fabian (-1067/H)
* Erika (-1069/M)
* Gaby (-1070/M)
* Fabian (-1072/H)
* Erika (-1075/M)
* Gaby (-1076/M)
* Fabian (-1078/H)
* Erika (-1080/M)
* Gaby (-1081/M)
* Fabian (-1084/H)
* Erika (-1086/M)
* Gaby (-1087/M)
* Fabian (-1090/H)
* Erika (-1092/M)
* Gaby (-1093/M)
* Fabian (-1095/H)
* Erika (-1098/M)
* Gaby (-1099/M)
* Fabian (-1101/H)
* Erika (-1103/M)
* Gaby (-1104/M)
* Fabian (-1107/H)
* Erika (-1109/M)
* Gaby (-1110/M)
* Fabian (-1113/H)
* Erika (-1115/M)
* Gaby (-1116/M)
* Fabian (-1118/H)
* Erika (-1121/M)
* Gaby (-1122/M)
* Fabian (-1124/H)
* Erika (-1126/M)
* Gaby (-1127/M)
* Fabian (-1130/H)
* Erika (-1132/M)
* Gaby (-1133/M)
* Fabian (-1136/H)
* Erika (-1138/M)
* Gaby (-1139/M)
* Fabian (-1141/H)
* Erika (-1144/M)
* Gaby (-1145/M)
* Fabian (-1147/H)
* Erika (-1149/M)
* Gaby (-1150/M)
* Fabian (-1153/H)
* Erika (-1155/M)
* Gaby (-1156/M)
* Fabian (-1159/H)
* Erika (-1161/M)
* Gaby (-1162/M)
* Fabian (-1164/H)
* Erika (-1167/M)
* Gaby (-1168/M)
* Fabian (-1170/H)
* Erika (-1172/M)
* Gaby (-1173/M)
* Fabian (-1176/H)
* Erika (-1178/M)
* Gaby (-1179/M)
* Fabian (-1182/H)
* Erika (-1184/M)
* Gaby (-1185/M)
* Fabian (-1187/H)
* Erika (-1190/M)
* Gaby (-1191/M)
* Fabian (-1193/H)
* Erika (-1195/M)
* Gaby (-1196/M)
* Fabian (-1199/H)
* Erika (-1201/M)
* Gaby (-1202/M)
* Fabian (-1205/H)
* Erika (-1207/M)
* Gaby (-1208/M)
* Fabian (-1210/H)
* Erika (-1213/M)
* Gaby (-1214/M)
* Fabian (-1216/H)
* Erika (-1218/M)
* Gaby (-1219/M)
* Fabian (-1222/H)
* Erika (-1224/M)
* Gaby (-1225/M)
* Fabian (-1228/H)
* Erika (-1230/M)
* Gaby (-1231/M)
* Fabian (-1233/H)
* Erika (-1236/M)
* Gaby (-1237/M)
* Fabian (-1239/H)
* Erika (-1241/M)
* Gaby (-1242/M)
* Fabian (-1245/H)
* Erika (-1247/M)
* Gaby (-1248/M)
* Fabian (-1251/H)
* Erika (-1253/M)
* Gaby (-1254/M)
* Fabian (-1256/H)
* Erika (-1259/M)
* Gaby (-1260/M)
* Fabian (-1262/H)
* Erika (-1264/M)
* Gaby (-1265/M)
* Fabian (-1268/H)
* Erika (-1270/M)
* Gaby (-1271/M)
* Fabian (-1274/H)
* Erika (-1276/M)
* Gaby (-1277/M)
* Fabian (-1279/H)
* Erika (-1282/M)
* Gaby (-1283/M)
* Fabian (-1285/H)
* Erika (-1287/M)
* Gaby (-1288/M)
* Fabian (-1291/H)
* Erika (-1293/M)
* Gaby (-1294/M)
* Fabian (-1297/H)
* Erika (-1299/M)
* Gaby (-1300/M)
* Fabian (-1302/H)
* Erika (-1305/M)
* Gaby (-1306/M)
* Fabian (-1308/H)
* Erika (-1310/M)
* Gaby (-1311/M)
* Fabian (-1314/H)
* Erika (-1316/M)
* Gaby (-1317/M)
* Fabian (-1320/H)
* Erika (-1322/M)
* Gaby (-1323/M)
* Fabian (-1325/H)
* Erika (-1328/M)
* Gaby (-1329/M)
* Fabian (-1331/H)
* Erika (-1333/M)
* Gaby (-1334/M)
* Fabian (-1337/H)
* Erika (-1339/M)
* Gaby (-1340/M)
* Fabian (-1343/H)
* Erika (-1345/M)
* Gaby (-1346/M)
* Fabian (-1348/H)
* Erika (-1351/M)
* Gaby (-1352/M)
* Fabian (-1354/H)
* Erika (-1356/M)
* Gaby (-1357/M)
* Fabian (-1360/H)
* Erika (-1362/M)
* Gaby (-1363/M)
* Fabian (-1366/H)
* Erika (-1368/M)
* Gaby (-1369/M)
* Fabian (-1371/H)
* Erika (-1374/M)
* Gaby (-1375/M)
* Fabian (-1377/H)
* Erika (-1379/M)
* Gaby (-1380/M)
* Fabian (-1383/H)
* Erika (-1385/M)
* Gaby (-1386/M)
* Fabian (-1389/H)
* Erika (-1391/M)
* Gaby (-1392/M)
* Fabian (-1394/H)
* Erika (-1397/M)
* Gaby (-1398/M)
* Fabian (-1400/H)
* Erika (-1402/M)
* Gaby (-1403/M)
* Fabian (-1406/H)
* Erika (-1408/M)
* Gaby (-1409/M)
* Fabian (-1412/H)
* Erika (-1414/M)
* Gaby (-1415/M)
* Fabian (-1417/H)
* Erika (-1420/M)
* Gaby (-1421/M)
* Fabian (-1423/H)
* Erika (-1425/M)
* Gaby (-1426/M)
* Fabian (-1429/H)
* Erika (-1431/M)
* Gaby (-1432/M)
* Fabian (-1435/H)
* Erika (-1437/M)
* Gaby (-1438/M)
* Fabian (-1440/H)
* Erika (-1443/M)
* Gaby (-1444/M)
* Fabian (-1446/H)
* Erika (-1448/M)
* Gaby (-1449/M)
* Fabian (-1452/H)
* Erika (-1454/M)
* Gaby (-1455/M)
* Fabian (-1458/H)
* Erika (-1460/M)
* Gaby (-1461/M)
* Fabian (-1463/H)
* Erika (-1466/M)
* Gaby (-1467/M)
* Fabian (-1469/H)
* Erika (-1471/M)
* Gaby (-1472/M)
* Fabian (-1475/H)
* Erika (-1477/M)
* Gaby (-1478/M)
* Fabian (-1481/H)
* Erika (-1483/M)
* Gaby (-1484/M)
* Fabian (-1486/H)
* Erika (-1489/M)
* Gaby (-1490/M)
* Fabian (-1492/H)
* Erika (-1494/M)
* Gaby (-1495/M)
* Fabian (-1498/H)
* Erika (-1500/M)
* Gaby (-1501/M)
* Fabian (-1504/H)
* Erika (-1506/M)
* Gaby (-1507/M)
* Fabian (-1509/H)
* Erika (-1512/M)
* Gaby (-1513/M)
* Fabian (-1515/H)
* Erika (-1517/M)
* Gaby (-1518/M)
* Fabian (-1521/H)
* Erika (-1523/M)
* Gaby (-1524/M)
* Fabian (-1527/H)
* Erika (-1529/M)
* Gaby (-1530/M)
* Fabian (-1532/H)
* Erika (-1535/M)
* Gaby (-1536/M)
* Fabian (-1538/H)
* Erika (-1540/M)
* Gaby (-1541/M)
* Fabian (-1544/H)
* Erika (-1546/M)
* Gaby (-1547/M)
* Fabian (-1550/H)
* Erika (-1552/M)
* Gaby (-1553/M)
* Fabian (-1555/H)
* Erika (-1558/M)
* Gaby (-1559/M)
* Fabian (-1561/H)
* Erika (-1563/M)
* Gaby (-1564/M)
* Fabian (-1567/H)
* Erika (-1569/M)
* Gaby (-1570/M)
* Fabian (-1573/H)
* Erika (-1575/M)
* Gaby (-1576/M)
* Fabian (-1578/H)
* Erika (-1581/M)
* Gaby (-1582/M)
* Fabian (-1584/H)
* Erika (-1586/M)
* Gaby (-1587/M)
* Fabian (-1590/H)
* Erika (-1592/M)
* Gaby (-1593/M)
* Fabian (-1596/H)
* Erika (-1598/M)
* Gaby (-1599/M)
* Fabian (-1601/H)
* Erika (-1604/M)
* Gaby (-1605/M)
* Fabian (-1607/H)
* Erika (-1609/M)
* Gaby (-1610/M)
* Fabian (-1613/H)
* Erika (-1615/M)
* Gaby (-1616/M)
* Fabian (-1619/H)
* Erika (-1621/M)
* Gaby (-1622/M)
* Fabian (-1624/H)
* Erika (-1627/M)
* Gaby (-1628/M)
* Fabian (-1630/H)
* Erika (-1632/M)
* Gaby (-1633/M)
* Fabian (-1636/H)
* Erika (-1638/M)
* Gaby (-1639/M)
* Fabian (-1642/H)
* Erika (-1644/M)
* Gaby (-1645/M)
* Fabian (-1647/H)
* Erika (-1650/M)
* Gaby (-1651/M)
* Fabian (-1653/H)
* Erika (-1655/M)
* Gaby (-1656/M)
* Fabian (-1659/H)
* Erika (-1661/M)
* Gaby (-1662/M)
* Fabian (-1665/H)
* Erika (-1667/M)
* Gaby (-1668/M)
* Fabian (-1670/H)
* Erika (-1673/M)
* Gaby (-1674/M)
* Fabian (-1676/H)
----------------------------------------
